,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1611,Worship Facility,1,SOUTHWEST,1971,1,23772,Worship Facility,23772.0,None,0.0,None,0.0,100.0,4.199999809,100841.7031,0.0,100842.0,0.0,0.7,0.03
1613,K-12 School,4,NORTHEAST,2004,2,31343,K-12 School,51515.0,None,0.0,None,0.0,5.0,83.0,4277566.0,0.0,1639135.0,2207366.0,128.66,4.1
1619,Mixed Use Property,6,NORTHWEST,1996,3,55912,Parking,24052.0,Office,23501.0,Retail Store,9561.0,,74.09999847,2450442.75,0.0,2450443.0,0.0,17.08,0.31
1620,Other,7,MAGNOLIA / QUEEN ANNE,1957,2,20294,Other,18000.0,Office,2294.0,None,0.0,,90.90000153,1845057.875,0.0,536408.0,1199588.0,67.45,3.32
1621,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1983,4,40571,Office,24008.0,None,0.0,None,0.0,64.0,53.59999847,1286817.375,0.0,1286817.0,0.0,8.97,0.22
1622,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1983,4,41707,Office,41707.0,Parking,12000.0,None,0.0,78.0,42.79999924,1785685.5,0.0,1755788.0,0.0,12.24,0.29
1623,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,1960,2,57644,Office,20176.0,Services,19440.0,Non-Refrigerated Warehouse,15490.0,,41.70000076,2300589.0,0.0,1591510.0,598225.0,42.87,0.74
1624,Warehouse,7,MAGNOLIA / QUEEN ANNE,1955,2,39497,Non-Refrigerated Warehouse,25547.0,Office,13950.0,None,0.0,9.0,45.79999924,1809734.75,0.0,1344071.0,355986.0,28.28,0.72
1634,Other,3,EAST,1932,1,33087,Entertainment/Public Assembly,53776.0,None,0.0,None,0.0,,73.40000153,3944599.75,0.0,1443141.0,2105717.0,121.9,3.68
1637,Small- and Mid-Sized Office,5,NORTHWEST,1982,2,27574,Office,27574.0,None,0.0,None,0.0,73.0,45.09999847,1243709.625,0.0,1211349.0,0.0,8.44,0.31
1641,Retail Store,5,NORTH,1965,1,24982,Retail Store,24982.0,None,0.0,None,0.0,99.0,13.39999962,335245.0,0.0,335245.0,0.0,2.34,0.09
1643,Senior Care Community,5,NORTH,1998,5,43661,Senior Care Community,43661.0,Parking,0.0,None,0.0,4.0,94.90000153,4141925.0,0.0,2741695.0,1194726.0,82.57,1.89
1648,Small- and Mid-Sized Office,5,NORTHWEST,1987,3,76105,Office,76105.0,None,0.0,None,0.0,91.0,34.09999847,2596383.25,0.0,2472350.0,0.0,17.24,0.23
1653,Mixed Use Property,5,NORTH,1952,2,32009,Non-Refrigerated Warehouse,17500.0,Retail Store,15770.0,Office,4000.0,,58.40000153,2177737.0,0.0,1340993.0,657732.0,44.28,1.38
1656,Retail Store,5,NORTH,1966,1,41615,Retail Store,41615.0,None,0.0,None,0.0,69.0,48.09999847,2001296.75,0.0,1900006.0,0.0,13.25,0.32
1657,Medical Office,5,NORTH,1988,3,28841,Medical Office,28841.0,None,0.0,None,0.0,55.0,52.90000153,1525049.625,0.0,955324.0,503875.0,33.42,1.16
1658,Self-Storage Facility,5,NORTH,1977,2,33344,Self-Storage Facility,31360.0,Office,984.0,Parking,0.0,,4.0,129466.8984,0.0,123767.0,0.0,0.86,0.03
1659,Other,5,NORTH,2005,1,30498,Recreation,30498.0,None,0.0,None,0.0,,87.0,2652254.5,0.0,1066226.0,1369837.0,80.19,2.63
1664,K-12 School,1,DELRIDGE,1924,2,42975,K-12 School,21405.0,None,0.0,None,0.0,92.0,52.5,1124454.25,0.0,173165.0,786187.0,42.96,1.0
1666,Other,1,DELRIDGE,1963,1,23260,"Repair Services (Vehicle, Shoe, Locksmith, etc)",13075.0,Office,10185.0,None,0.0,,77.5,1803514.875,0.0,719779.0,892327.0,52.41,2.25
1668,Small- and Mid-Sized Office,1,DELRIDGE,1988,2,30659,Office,27262.0,Non-Refrigerated Warehouse,8653.0,Data Center,285.0,88.0,78.09999847,2828171.5,0.0,1804388.0,814700.0,55.85,1.82
1669,Other,7,MAGNOLIA / QUEEN ANNE,1920,2,27144,Other,27144.0,None,0.0,None,0.0,,41.90000153,1138349.25,0.0,458796.0,553228.0,32.58,1.2
1670,Other,5,NORTHWEST,1970,1,23166,Other,23166.0,None,0.0,None,0.0,,157.5,3648465.5,0.0,3.0,3475801.0,184.6,7.97
